品牌,型号,评分分组,评分,评价内容,评论字数,时间,追评内容,页面标题,评价星级
佳能,R50,好评,5,拍照效果超出预期，对焦快又准，画质细腻色彩自然，操作简单顺手，续航也很够用，日常记录完全满足，真心推荐！,52,2026-03-11,,【佳能EOS R50】佳能（Canon）R50微单相机 旅行拍照摄影专用照相机 4K高清视频拍摄 入门级半画幅相机 佳能r50白色18-45mm套机【行情 报价 价格 评测】-京东,5星
佳能,R50,好评,5,这款相机性价比真的很高，500 元的价格能买到这样的产品，非常划算。拍照效果也很不错，清晰度和功能都很满意，日常使用完全没问题。整体设计简洁大方，操作方便，很适合普通消费者。无论是拍风景还是人物，表现都很不错，性价比超高，绝对值！,115,2026-03-11,,【佳能EOS R50】佳能（Canon）R50微单相机 旅行拍照摄影专用照相机 4K高清视频拍摄 入门级半画幅相机 佳能r50白色18-45mm套机【行情 报价 价格 评测】-京东,5星
佳能,R50,好评,5,相机正品保证，画质细腻，容易上手操作。纯正好货，外观大气，反应灵敏，家人非常喜爱，产品轻便容易携带旅行。,52,2026-03-11,,【佳能EOS R50】佳能（Canon）R50微单相机 旅行拍照摄影专用照相机 4K高清视频拍摄 入门级半画幅相机 佳能r50白色18-45mm套机【行情 报价 价格 评测】-京东,5星
佳能,R50,好评,5,女儿的心心念终于到手了，颜值高，小巧携带非常方便，拍照效果非常清晰，效果很好，非常出片，就连我这小白也很容易就上手了，满意👍,62,2026-03-11,,【佳能EOS R50】佳能（Canon）R50微单相机 旅行拍照摄影专用照相机 4K高清视频拍摄 入门级半画幅相机 佳能r50白色18-45mm套机【行情 报价 价格 评测】-京东,5星
佳能,R50,好评,5,货收到了 包装的非常精致安全 第一次买相机 按照说明书组装和应用 非常丝滑 给的套装里包含很多有用的东西 不错的购买体验,60,2026-03-10,,【佳能EOS R50】佳能（Canon）R50微单相机 旅行拍照摄影专用照相机 4K高清视频拍摄 入门级半画幅相机 佳能r50白色18-45mm套机【行情 报价 价格 评测】-京东,5星
佳能,R50,好评,5,相机到手啦～，安全下车，拍照的质感很好，商品包装的很严实。,29,2026-03-10,,【佳能EOS R50】佳能（Canon）R50微单相机 旅行拍照摄影专用照相机 4K高清视频拍摄 入门级半画幅相机 佳能r50白色18-45mm套机【行情 报价 价格 评测】-京东,5星
佳能,R50,好评,5,很好，是正品，到手先拍了两张试了下，对焦快，使用方便，屏幕触控灵敏。,34,2026-03-10,,【佳能EOS R50】佳能（Canon）R50微单相机 旅行拍照摄影专用照相机 4K高清视频拍摄 入门级半画幅相机 佳能r50白色18-45mm套机【行情 报价 价格 评测】-京东,5星
佳能,R50,好评,5,超级好看呢！颜值特别高，镜头很清楚 拍出来的人物风景都很不错哦 推荐加个人像镜头 很不错，棒棒的～,49,2026-03-10,,【佳能EOS R50】佳能（Canon）R50微单相机 旅行拍照摄影专用照相机 4K高清视频拍摄 入门级半画幅相机 佳能r50白色18-45mm套机【行情 报价 价格 评测】-京东,5星
佳能,R50,好评,5,"产品包装：包装完整
外形外观：无划痕
成像效果：效果好
反应速度：灵敏
便携性能：机身轻巧
孩子很喜欢",51,2026-03-10,,【佳能EOS R50】佳能（Canon）R50微单相机 旅行拍照摄影专用照相机 4K高清视频拍摄 入门级半画幅相机 佳能r50白色18-45mm套机【行情 报价 价格 评测】-京东,5星
佳能,R50,好评,5,佳能相机成像清晰，操作简单，拍景拍人都好看，性价比高，值得入手。,32,2026-03-10,,【佳能EOS R50】佳能（Canon）R50微单相机 旅行拍照摄影专用照相机 4K高清视频拍摄 入门级半画幅相机 佳能r50白色18-45mm套机【行情 报价 价格 评测】-京东,5星
