品牌,型号,评分分组,评分,评价内容,评论字数,时间,追评内容,页面标题,评价星级
尼康,Z30,好评,5,入门版相机，加上国补真的是比之前便宜多了。而且很适合新手，这款相机是性价比比较高。旗舰店的价格比别的店铺贵300.400左右。,63,2026-03-08,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,"第一张，
成像效果：好
反应速度：好
便携性能：好",25,2026-03-02,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,年前终于买了一部心心念念的相机，选的是尼康旗舰店的z30 +16-50的镜头，国补后是5000 过一点点儿，感觉还是很不错的，和手机拍出来的就是不一样，也在慢慢的练习拍照。,86,2026-03-01,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,差评,1,参加补贴的不要购买，不要购买，不要购买！虽然是自营，但是一定要问清楚是不是开的本地发票，要不然就是扯不清的皮！我是北京的，竟然开了个舟山的发票，客服说我参加了舟山的补贴，这你让我怎么知道参加了外地的补贴？你又没有说明，胖换发票竟然换不了，所以购买之前一定要问清楚！,132,2026-02-28,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,1星
尼康,Z30,好评,5,相机不错 拍照超级出片 美美的,15,2026-02-28,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,中评,3,目前使用比之前好一些。。。但是还待考察。。,21,2026-02-26,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,3星
尼康,Z30,好评,5,机身小巧方便,6,2026-02-24,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,收到了，包装完整无损，物流还算给力，物美价廉，值得推荐购买[微笑]收到了，包装完整无损，物流还算给力，物美价廉，值得推荐购买[微笑],66,2026-02-23,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,差评,2,初体验不错，相机上手重量刚刚好,15,2026-02-23,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,2星
尼康,Z30,好评,5,握感好，拍照清楚！,9,2026-02-13,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
