品牌,型号,评分分组,评分,评价内容,评论字数,时间,追评内容,页面标题,评价星级
索尼,ZV-E10,好评,4,要不要这样呀，相机都还没捂热，就降价了 也太坑了吧！,26,2026-03-11,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,4星
索尼,ZV-E10,好评,5,这次购物体验简直太棒啦！zve10商品质量超赞，细节之处尽显用心，看得出商家在制作上十分考究。物流速度也相当给力，下单没多久就收到了。客服服务更是没话说，有问必答，态度亲切又耐心，必须给五星好评！,98,2026-03-11,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,昨天看还是原价，今天降了150，刚好过了保价期两天，太过分了吧，降那么多，差评。找了客服也是不给退差价，真当老百姓钱那么好赚呢？,64,2026-03-10,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,差评,1,此用户未及时填写评价内容,12,2026-03-10,不要买！拆封就不给退，霸王条款！,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,1星
索尼,ZV-E10,好评,5,这款相机简直是颜值担当，对焦挺快，照片拍出来挺清晰的，传输到手机也非常快，外包装完整，物流发货速度很快，整体来说是一次很满意的购物体验。,68,2026-03-10,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,很好用的一个相机，携带非常方便。,16,2026-03-10,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,差评,1,拿到相机就是破的， 联系索尼京东自营店铺客服破成这鬼样子还装正常，要售后处理又踢皮球给京东客服。自营店铺客服售后服务真差到极点，有事不处理还要消费者自己去催。,79,2026-03-09,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,1星
索尼,ZV-E10,好评,5,实物和图片一样，品质在线，细节到位。包装仔细严实，物流又快又稳。店家服务周到，售后有保障，整体体验满分。性价比很高，用着放心，已经推荐给朋友，下次还来！,76,2026-03-08,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,"非常的好用 轻巧 不错不错 推荐
产品包装：好",23,2026-03-08,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,轻便对焦快。换了一圈还是买回这个,16,2026-03-07,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,1. 对比了好几家最终选择这家，果然没失望。商品做工扎实，材质很好，使用起来很方便。京东配送速度快，服务到位，非常满意，以后还会再来！,67,2026-03-06,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,携带轻巧方便，搭配适马1850，对于女士来讲轻松上手不累，拍照特别花树静物绝绝子,40,2026-03-04,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,索尼这个入门级微单相机很好，给孩子买的，孩子很喜欢，照相很清晰，重量也很轻，出门游玩带着方便，多出去看看风景少玩点手机挺好的！,63,2026-03-04,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,版型很正👕，上身效果特别好，朋友都问我要链接呢🔗！,25,2026-03-03,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
索尼,ZV-E10,好评,5,我非常满意这次的购物体验！产品质量上乘，服务态度热情周到，物流速度也异常快捷。从下单到收货整个过程都十分顺利，没有任何的不便。商家对待客户的细心和耐心值得表扬，让人感觉非常贴心。总之，这是一次非常愉快的购物经历，我会向朋友们推荐这里，期待下次再次光顾！,126,2026-03-03,,【索尼ZV-E10】索尼（SONY）ZV-E10 半画幅微单相机 单机身 美肤拍照 颜值机身 精准对焦 VLOG APS-C画幅 黑色【行情 报价 价格 评测】-京东,5星
