会员,级别,评价星级,评价内容,时间,点赞数,评论数,追评时间,追评内容,商品属性,页面网址,页面标题,sku,好评度,评价关键词,评论类型,该类型评论数
jd_187163whd,,5星,风停了，蝉也睡了，忙碌的一天画上了句号。把烦恼丢给黑夜，带着希望迎接明天，晚安，愿你好眠。,2026-03-11,,,,,银色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
j***n,,5星,"产品包装：复古，做工精美
外形外观：好看
成像效果：很棒，出片效果很好",2026-03-11,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
jd_hb8a92y07m7t2p,,5星,这相机超棒，成像清晰，色彩还原度高，抓拍也特别快，能把每个瞬间都完美记录下来。“拍人像真的绝!虚化效果太高级了，背景像奶油一样柔和，人物皮肤又通透又细腻，连发丝都根根分明，比手机的AI虚化自然多了～”,2026-03-10,,,,,黑色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
猫眼林克君,,5星,颜值太高了，胶片滤镜无敌好看。,2026-03-10,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
恋日歌,,5星,好用的，抢了很久终于抢到了,2026-03-10,,,,,黑色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
jd157594wsk,,5星,对焦快，携带方便，一直在京东购买，是一款不错的选择,2026-03-10,,,,,银色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
素***啊,,5星,真的很小都没有iPhone大很小很轻盈，果然只有300 多克，一点都不会觉得重。出门旅行拿着它也不会觉得很累，很适合女生拍照的时候有腹泻自带的功能，他几乎都有了非常好值得购买。,2026-03-10,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
u_3jv37xhv9auf,,5星,非常满意的一次购物体验，每次在京东上买东西都非常方便，送货速度杠杠的，送货师傅态度非常好，谢谢京东师傅的服务，下次一定还要在京东上买,2026-03-09,,,,,银色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
大海啊全特么是水,,5星,终于让我抢到一台，真是不容易啊，下次出游浪起来！！！产品包装保护到位，物流一如既往的快，京东还配送到家，这点最最满意了，非常不错！,2026-03-09,,,,,银色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
G***N,,5星,京东自营。值得信赖。,2026-03-09,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
jd_180301qlh,,5星,"心心念念的富士X-M5终于到手了！选的XC35套机，2610万像素完全够用。最爱的就是它的复古颜值，小巧轻便，女生单手握着也没压力，出门扫街毫无负担。
买富士就是为了胶片模拟，20种滤镜直出色彩绝了，NC滤镜随便一拍都是大片感，根本不用后期修图。对焦速度对于新手来说完全够用，屏幕显示效果也很细腻。
套机镜头拍人像虚化效果不错，这个价位能买到这样的颜值和色彩，性价比很高了。强烈推荐给喜欢记录生活的朋友",2026-03-09,,,,,银色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
jd_5qpsrk0hb21n6d,,5星,这次以旧换新一下在京东购入了两个电子产品 依旧信赖京东！！价格实惠划算，真的不错,2026-03-09,1,1,,,银色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
香水百合3344,,5星,产品设计太出色了，充满了创意和实用性。这次购物体验蛮加分的！商家在购买过程中热情周到，售后还贴心跟踪产品使用情况，及时询问遇到的问题，让我感受到了真正的关怀。,2026-03-08,,,,,银色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
jd_8n6ku28tps9u14,,5星,此用户未填写评价内容,2026-03-07,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
1***p,,5星,新买的相机到啦，小巧轻便，握感舒适。开机试拍，画质清晰细腻，色彩还原自然。操作简单易上手，新手也能快速掌握。期待用它记录生活点滴，捕捉美好瞬间，开启我的摄影之旅。,2026-03-07,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
飞来狂想,,5星,不错，关注好久了，今天终于入手，开心，发货速度快。,2026-03-06,,1,,,黑色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
岁月守护猫_,,5星,上手了一段时间了 挺好的 出去玩的时候拍照用,2026-03-06,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
